Exact age,"Death probability, males","Number of survivors out of 100,000, males","Life expectancy, males","Death probability, females","Number of survivors out of 100,000, females","Life expectancy, females"
0,0.006081,"100,000",76.23,0.005046,"100,000",81.28
1,0.000425,"99,392",75.69,0.000349,"99,495",80.69
2,0.00026,"99,350",74.73,0.000212,"99,461",79.72
3,0.000194,"99,324",73.75,0.000166,"99,440",78.74
4,0.000154,"99,305",72.76,0.000137,"99,423",77.75
5,0.000142,"99,289",71.77,0.000122,"99,409",76.76
6,0.000135,"99,275",70.78,0.000111,"99,397",75.77
7,0.000127,"99,262",69.79,0.000103,"99,386",74.78
8,0.000117,"99,249",68.8,0.000098,"99,376",73.79
9,0.000104,"99,238",67.81,0.000095,"99,366",72.79
10,0.000097,"99,227",66.81,0.000096,"99,357",71.8
11,0.000106,"99,218",65.82,0.000102,"99,347",70.81
12,0.000145,"99,207",64.83,0.000116,"99,337",69.81
13,0.00022,"99,193",63.84,0.000139,"99,326",68.82
14,0.000324,"99,171",62.85,0.00017,"99,312",67.83
15,0.000437,"99,139",61.87,0.000204,"99,295",66.84
16,0.000552,"99,096",60.9,0.00024,"99,275",65.86
17,0.000676,"99,041",59.93,0.000278,"99,251",64.87
18,0.000806,"98,974",58.97,0.000319,"99,223",63.89
19,0.000939,"98,894",58.02,0.00036,"99,192",62.91
20,0.001079,"98,801",57.07,0.000405,"99,156",61.93
21,0.001215,"98,695",56.13,0.000451,"99,116",60.96
22,0.001327,"98,575",55.2,0.000491,"99,071",59.99
23,0.001406,"98,444",54.27,0.000523,"99,022",59.02
24,0.001461,"98,306",53.35,0.00055,"98,971",58.05
25,0.001508,"98,162",52.43,0.000575,"98,916",57.08
26,0.001559,"98,014",51.51,0.000605,"98,859",56.11
27,0.001612,"97,861",50.58,0.000642,"98,800",55.14
28,0.001671,"97,703",49.67,0.000691,"98,736",54.18
29,0.001734,"97,540",48.75,0.000749,"98,668",53.22
30,0.001798,"97,371",47.83,0.000811,"98,594",52.26
31,0.00186,"97,196",46.92,0.000872,"98,514",51.3
32,0.001926,"97,015",46,0.000933,"98,428",50.34
33,0.001994,"96,828",45.09,0.00099,"98,336",49.39
